experiment_name,dataset_name,model_name,scenario_name,run_id,best_val_macro_f1,best_val_accuracy,best_val_loss,best_epoch,mode,target,alpha,beta,mix_lambda,start_epoch,mean_epoch_time,mean_throughput,exp_dir
runs_fractional_scenarios,small_D2_L64,T_base_mean,mixed_all_a08_lam050,1,0.2850165095489433,0.324999988079071,1.8753843450546264,7,mix,all,0.8,0.9,0.5,1.0,14.805230903625487,270.2404255111415,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/mixed_all_a08_lam050/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,delayed_all_mix_a08_lam015_warm3,0,0.2849390137368904,0.3630000054836273,1.8329645099639893,10,mix,all,0.8,0.9,0.15,4.0,1.3394058227539063,4035.334257219302,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/delayed_all_mix_a08_lam015_warm3/run_0
runs_fractional_focused_final,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam005_warm3,2,0.2848103037012507,0.3540000021457672,1.7927580022811889,10,mix,head,0.8,0.9,0.005,4.0,1.2908725023269654,4180.60784549748,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam005_warm3/run_2
runs_fractional_focused_final,small_D2_L64,T_wide_mean,emb_mix_a08_lam015,2,0.2847682037086822,0.3510000109672546,1.8506718425750728,10,mix,embeddings,0.8,0.9,0.015,1.0,1.2976243495941162,3950.072192005097,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/emb_mix_a08_lam015/run_2
runs_fractional_scenarios,small_D2_L64,T_small_mean,ffn_only_replace_a08,1,0.2847551272066247,0.3519999980926513,1.8336487350463868,10,replace,ffn,0.8,0.9,1.0,1.0,6.874827480316162,581.9362578194693,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_small_mean/ffn_only_replace_a08/run_1
runs_fractional_scenarios,small_D2_L64,T_base_mean,head_only_replace_a08,2,0.2845502140808954,0.3540000021457672,1.861415984153748,10,replace,head,0.8,0.9,1.0,1.0,14.643113017082214,273.2054948553008,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/head_only_replace_a08/run_2
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,emb_replace_a07,0,0.2844074648549555,0.3409999907016754,1.8720782308578487,8,replace,embeddings,0.7,0.9,1.0,1.0,1.282732605934143,3943.204336118489,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/emb_replace_a07/run_0
runs_fractional_scenarios,small_D2_L64,T_deep_mean,baseline_adamw,2,0.2843684974829653,0.3449999988079071,1.92291082572937,6,none,none,,,0.0,,1.7623189210891723,2589.0657981336108,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_2
runs_fractional_focused_final,small_D2_L64,T_deep_mean,all_mix_a08_lam020,1,0.2843530656350812,0.3420000076293945,1.8530827417373656,9,mix,all,0.8,0.9,0.02,1.0,1.80133159160614,2570.954838938125,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_deep_mean/all_mix_a08_lam020/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_deep_mean,head_replace_a08,2,0.2837297337062888,0.3529999852180481,1.82170157623291,9,replace,head,0.8,0.9,1.0,1.0,1.5222261667251586,3832.750074534656,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/head_replace_a08/run_2
runs_fractional_focused_final,small_D2_L64,T_deep_mean,all_mix_a08_lam025,3,0.283678851338428,0.3700000047683716,1.8028994770050049,9,mix,all,0.8,0.9,0.025,1.0,1.8407909870147705,2489.5793542750284,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_deep_mean/all_mix_a08_lam025/run_3
runs_transformer_fractional,small_D2_L64,T_base_cls,adam,0,0.2836655919147126,0.3400000035762787,1.8340427112579345,10,,,,,,,30.22991418838501,132.75212188540382,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_base_cls/adam/run_0
runs_fractional_focused_final,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam020_warm3,2,0.2834128518762958,0.3600000143051147,1.8252119159698488,6,mix,head,0.8,0.9,0.02,4.0,1.3111683130264282,3944.461686801226,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_2
runs_fractional_focused_final,small_D2_L64,T_deep_mean,emb_replace_a065,0,0.2829712902869311,0.3310000002384186,1.8700198631286624,10,replace,embeddings,0.65,0.9,1.0,1.0,1.7247607231140136,2756.1450736789857,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_deep_mean/emb_replace_a065/run_0
runs_fractional_focused_final,small_D2_L64,T_base_cls,all_mix_a08_lam030,0,0.2828967934633316,0.3549999892711639,1.8243898601531985,10,mix,all,0.8,0.9,0.03,1.0,1.2111773490905762,4966.53388186963,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_cls/all_mix_a08_lam030/run_0
runs_fractional_focused_final,small_D2_L64,T_base_mean,delayed_emb_mix_a08_lam005_warm3,2,0.2827263589114308,0.3490000069141388,1.8503586196899413,10,mix,embeddings,0.8,0.9,0.005,4.0,1.1714054584503173,4470.855363206747,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam005_warm3/run_2
runs_fractional_scenarios,small_D2_L64,T_deep_mean,mixed_all_a08_lam050,1,0.2826540555749917,0.3420000076293945,1.862782922744751,10,mix,all,0.8,0.9,0.5,1.0,1.71172297000885,2837.1536160543897,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_deep_mean/mixed_all_a08_lam050/run_1
runs_fractional_scenarios,small_D2_L64,T_base_cls,mixed_all_a08_lam025,1,0.2825906261913151,0.3589999973773956,1.839881731033325,10,mix,all,0.8,0.9,0.25,1.0,17.20004026889801,239.71952115437617,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_cls/mixed_all_a08_lam025/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,emb_replace_a09,0,0.2824812680955139,0.3449999988079071,1.8514746465682983,10,replace,embeddings,0.9,0.9,1.0,1.0,1.3076165199279786,4049.26335276693,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/emb_replace_a09/run_0
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,delayed_emb_mix_a08_lam025_warm3,1,0.2822609198100296,0.3440000116825104,1.8528286876678464,9,mix,embeddings,0.8,0.9,0.25,4.0,1.2197157144546509,4226.675885038916,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam025_warm3/run_1
runs_fractional_focused_final,small_D2_L64,T_base_mean,emb_mix_a08_lam015,1,0.2819125828878993,0.3339999914169311,1.9170175876617432,7,mix,embeddings,0.8,0.9,0.015,1.0,1.228917622566223,4217.73136034411,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_mean/emb_mix_a08_lam015/run_1
runs_fractional_scenarios,small_D2_L64,T_base_mean,delayed_mixed_all_a08_lam025_warm3,0,0.2818054721300956,0.3409999907016754,1.8349466342926024,7,mix,all,0.8,0.9,0.25,4.0,14.718710207939148,271.7896580688535,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/delayed_mixed_all_a08_lam025_warm3/run_0
